,beds,baths,size,lot_size,price
535,1,1.0,16128,3871.059694427803,yes
536,3,2.5,16128,1553.0,yes
537,3,3.0,16128,866.0,yes
538,3,1.0,16128,5000.0,yes
539,2,1.0,16128,3250.0,yes
540,4,2.0,16128,17859.6,yes
541,1,1.0,16128,3871.059694427803,yes
542,2,1.0,16128,3871.059694427803,yes
543,4,1.5,16128,9205.0,yes
544,3,1.5,16128,3500.0,yes
545,4,2.5,16128,6001.0,yes
546,3,3.0,16128,625.0,yes
547,3,2.5,16128,916.0,yes
548,4,4.5,16128,7653.0,yes
549,3,2.5,16128,1255.0,yes
550,1,1.0,16128,3871.059694427803,yes
551,4,3.0,16128,7320.0,yes
552,4,3.5,16128,4080.0,yes
553,3,2.0,16128,1539.0,yes
554,4,2.0,16128,5100.0,yes
555,3,2.0,16128,1055.0,yes
556,2,1.5,16128,1588.0,yes
557,4,3.5,16128,41817.6,yes
558,2,2.0,16128,14374.800000000001,yes
559,2,2.5,16128,1536.0,yes
560,4,3.0,16128,3060.0,yes
561,1,1.0,16128,3871.059694427803,yes
562,3,1.5,16128,6150.0,yes
563,1,1.0,16128,3871.059694427803,yes
564,2,2.5,16128,3000.0,yes
565,1,1.0,16128,3871.059694427803,yes
566,3,2.5,16128,2217.0,yes
567,2,2.0,16128,1192.0,yes
568,1,1.0,16128,11325.6,yes
569,2,2.5,16128,3871.059694427803,yes
570,3,2.0,16128,6120.0,yes
571,3,1.0,16128,9050.0,yes
572,3,2.0,16128,1554.0,yes
573,1,1.0,16128,12632.4,yes
574,4,2.0,16128,5080.0,yes
575,4,2.0,16128,4224.0,yes
576,3,2.0,16128,1124.0,yes
577,1,1.0,16128,3871.059694427803,yes
578,2,1.0,16128,2526.0,yes
579,1,1.0,16128,3871.059694427803,yes
580,5,4.0,16128,5220.0,yes
581,6,4.0,16128,5012.0,yes
582,3,3.5,16128,12196.800000000001,yes
583,2,1.0,16128,8160.0,yes
584,3,1.5,16128,3797.0,yes
585,3,2.5,16128,1845.0,yes
586,2,1.0,16128,8150.0,yes
587,3,2.0,16128,8120.0,yes
588,4,3.0,16128,8037.0,yes
589,4,3.5,16128,3871.059694427803,yes
590,2,1.0,16128,6103.0,yes
591,1,1.0,16128,3871.059694427803,yes
592,1,1.0,16128,3871.059694427803,yes
593,3,2.5,16128,2109.0,yes
594,4,3.0,16128,5350.0,yes
